	epoch	accuracy	loss	data_loss	regularization_loss	learning_rate
0	0	0.5	0.6931550135244615	0.20361213	5.625688005238772e-06	0.001
1	1	0.545	0.6931200060294941	0.20361213	5.606119520962238e-06	0.001
2	2	0.535	0.6930880231108022	0.20361213	5.7501043629599735e-06	0.0009999995000002499
3	3	0.64	0.6930565977930819	0.20361213	6.034457663190551e-06	0.0009999990000010002
4	4	0.61	0.6930244633974216	0.20361213	6.444198050303385e-06	0.00099999850000225
5	5	0.635	0.6929911357375386	0.20361213	6.971976399654523e-06	0.000999998000004
6	6	0.635	0.6929549438365502	0.20361213	7.615745882503689e-06	0.00099999750000625
7	7	0.615	0.6929153489297023	0.20361213	8.373183547519148e-06	0.000999997000009
8	8	0.605	0.6928715802896186	0.20361213	9.24842240056023e-06	0.0009999965000122499
9	9	0.605	0.692824058879516	0.20361213	1.0245193145237864e-05	0.0009999960000160002
10	10	0.615	0.6927725466400152	0.20361213	1.1363854981027544e-05	0.0009999955000202499
11	11	0.63	0.6927168662400218	0.20361213	1.2605890748091042e-05	0.0009999950000249998
12	12	0.625	0.6926569034806452	0.20361213	1.3976310845464469e-05	0.0009999945000302498
13	13	0.63	0.6925928404262522	0.20361213	1.5478365705348552e-05	0.0009999940000359998
14	14	0.635	0.6925242048520595	0.20361213	1.7116667702794076e-05	0.0009999935000422498
15	15	0.63	0.6924512943208684	0.20361213	1.8890756415203216e-05	0.0009999930000489997
16	16	0.62	0.6923739960573148	0.20361213	2.0807065768167377e-05	0.0009999925000562496
17	17	0.62	0.6922915978264064	0.20361213	2.286861650645733e-05	0.0009999920000639995
18	18	0.62	0.6922040383210406	0.20361213	2.5073706172406675e-05	0.0009999915000722494
19	19	0.62	0.6921111415603663	0.20361213	2.742516784928739e-05	0.0009999910000809994
20	20	0.62	0.6920127969062887	0.20361213	2.993157273158431e-05	0.0009999905000902492
21	21	0.615	0.6919093668824062	0.20361213	3.2597816549241545e-05	0.0009999900000999989
22	22	0.615	0.6918002053005621	0.20361213	3.5433362238109115e-05	0.000999989500110249
23	23	0.615	0.6916855548927561	0.20361213	3.844252321869135e-05	0.0009999890001209987
24	24	0.615	0.6915652390043251	0.20361213	4.1627458762377506e-05	0.0009999885001322484
25	25	0.62	0.6914386723786593	0.20361213	4.499895870685577e-05	0.0009999880001439984
26	26	0.62	0.6913060347386636	0.20361213	4.8557932022958996e-05	0.0009999875001562482
27	27	0.62	0.691166786391288	0.20361213	5.230112746357918e-05	0.0009999870001689978
28	28	0.62	0.691021354811266	0.20361213	5.623878724873066e-05	0.0009999865001822474
29	29	0.62	0.6908698579315096	0.20361213	6.036963500082493e-05	0.0009999860001959973
30	30	0.62	0.6907120011122897	0.20361213	6.469705421477557e-05	0.000999985500210247
31	31	0.62	0.690548149199225	0.20361213	6.922826264053583e-05	0.0009999850002249966
32	32	0.62	0.6903788470290602	0.20361213	7.397165521979331e-05	0.0009999845002402463
33	33	0.625	0.6902036052327604	0.20361213	7.891470007598401e-05	0.000999984000255996
34	34	0.625	0.6900220060003921	0.20361213	8.405681978911162e-05	0.0009999835002722456
35	35	0.625	0.6898347094990313	0.20361213	8.940253034234047e-05	0.000999983000288995
36	36	0.625	0.6896415403997526	0.20361213	9.495531674474477e-05	0.0009999825003062445
37	37	0.625	0.6894426133763045	0.20361213	0.00010071064345538617	0.000999982000323994
38	38	0.625	0.6892379608545453	0.20361213	0.00010664133168756962	0.0009999815003422438
39	39	0.625	0.6890278304293752	0.20361213	0.00011275655776262283	0.0009999810003609932
40	40	0.625	0.6888124629314989	0.20361213	0.00011905873380601406	0.0009999805003802426
41	41	0.625	0.6885920556597411	0.20361213	0.00012556634470820428	0.0009999800003999922
42	42	0.625	0.6883666101582349	0.20361213	0.00013228093460202218	0.0009999795004202415
43	43	0.63	0.6881361978501082	0.20361213	0.00013921432197093963	0.0009999790004409906
44	44	0.63	0.6879007458463311	0.20361213	0.00014635322242975235	0.0009999785004622401
45	45	0.63	0.6876598972454667	0.20361213	0.00015369836241006853	0.0009999780004839895
46	46	0.635	0.6874136127214879	0.20361213	0.0001612700205296278	0.0009999775005062387
47	47	0.635	0.6871619065962732	0.20361213	0.00016902291402220727	0.0009999770005289879
48	48	0.635	0.6869058977346867	0.20361213	0.0001769434195011854	0.000999976500552237
49	49	0.635	0.686646564617753	0.20361213	0.00018505634367465973	0.0009999760005759862
50	50	0.635	0.6863837425280362	0.20361213	0.00019337578304111957	0.0009999755006002353
51	51	0.635	0.6861174285430461	0.20361213	0.0002018988151103258	0.0009999750006249844
52	52	0.635	0.6858476082533598	0.20361213	0.000210611030459404	0.0009999745006502333
53	53	0.63	0.6855744682997466	0.20361213	0.0002195202559232712	0.0009999740006759823
54	54	0.63	0.6852987174466252	0.20361213	0.0002286200001835823	0.0009999735007022316
55	55	0.63	0.6850211014971137	0.20361213	0.00023788120597600937	0.0009999730007289804
56	56	0.625	0.6847408387549222	0.20361213	0.0002472970373928547	0.0009999725007562292
57	57	0.625	0.6844596212282776	0.20361213	0.00025689057260751724	0.0009999720007839781
58	58	0.625	0.684177394900471	0.20361213	0.0002666673995554447	0.0009999715008122269
59	59	0.625	0.6838944669850171	0.20361213	0.00027663670852780346	0.0009999710008409756
60	60	0.625	0.6836107689142227	0.20361213	0.0002867895364761353	0.0009999705008702244
61	61	0.62	0.6833274796381593	0.20361213	0.0002971127405762673	0.000999970000899973
62	62	0.62	0.6830459846667946	0.20361213	0.000307561319321394	0.0009999695009302216
63	63	0.62	0.6827652877792716	0.20361213	0.0003181523308157921	0.0009999690009609703
64	64	0.62	0.6824844911247492	0.20361213	0.00032888199388980867	0.0009999685009922188
65	65	0.62	0.6822053905613721	0.20361213	0.0003397580273449421	0.0009999680010239673
66	66	0.62	0.6819263603314757	0.20361213	0.0003507639989256859	0.0009999675010562157
67	67	0.62	0.6816473832279444	0.20361213	0.00036182309687137604	0.000999967001088964
68	68	0.62	0.6813707114458084	0.20361213	0.0003729225397109986	0.0009999665011222124
69	69	0.62	0.6810962669700384	0.20361213	0.0003840439170598984	0.0009999660011559607
70	70	0.62	0.6808233273848892	0.20361213	0.00039518006891012193	0.000999965501190209
71	71	0.62	0.6805517898201943	0.20361213	0.00040628772974014285	0.0009999650012249572
72	72	0.62	0.6802845025956631	0.20361213	0.00041741380095481874	0.0009999645012602053
73	73	0.62	0.6800189541205763	0.20361213	0.000428550086915493	0.0009999640012959535
74	74	0.62	0.6797537753582	0.20361213	0.00043963885307312013	0.0009999635013322014
75	75	0.62	0.6794879295527935	0.20361213	0.00045059701800346375	0.0009999630013689494
76	76	0.615	0.6792217281162739	0.20361213	0.0004614379703998566	0.0009999625014061975
77	77	0.615	0.6789569897353649	0.20361213	0.00047219225764274597	0.000999962001443945
78	78	0.62	0.6786927166059613	0.20361213	0.0004829349592328072	0.000999961501482193
79	79	0.62	0.6784286913350225	0.20361213	0.0004936871007084847	0.0009999610015209409
80	80	0.62	0.6781716331318021	0.20361213	0.0005044921711087227	0.0009999605015601884
81	81	0.62	0.6779212506711483	0.20361213	0.0005154164731502533	0.000999960001599936
82	82	0.62	0.677674223229289	0.20361213	0.0005264771431684493	0.0009999595016401835
83	83	0.62	0.6774262819811702	0.20361213	0.000537637285888195	0.0009999590016809311
84	84	0.62	0.6771847988888622	0.20361213	0.0005488778874278069	0.0009999585017221786
85	85	0.62	0.6769534215554595	0.20361213	0.0005602106675505639	0.0009999580017639258
86	86	0.62	0.6767347943261266	0.20361213	0.0005715977624058723	0.0009999575018061733
87	87	0.625	0.676526694521308	0.20361213	0.0005830218642950058	0.0009999570018489204
88	88	0.625	0.6763239514082671	0.20361213	0.0005944382399320602	0.0009999565018921676
89	89	0.625	0.6761258070468903	0.20361213	0.0006058638095855713	0.000999956001935915
90	90	0.625	0.6759325368180871	0.20361213	0.0006172759309411048	0.000999955501980162
91	91	0.625	0.6757409374937415	0.20361213	0.0006286304220557213	0.000999955002024909
92	92	0.625	0.6755511081814766	0.20361213	0.00063990718126297	0.000999954502070156
93	93	0.625	0.6753631796985865	0.20361213	0.0006511178165674209	0.0009999540021159027
94	94	0.63	0.6751783487275242	0.20361213	0.000662266917526722	0.0009999535021621494
95	95	0.63	0.6749979792535306	0.20361213	0.0006733475625514985	0.0009999530022088963
96	96	0.63	0.6748245594576001	0.20361213	0.0006843445375561714	0.0009999525022561428
97	97	0.63	0.6746587976962328	0.20361213	0.0006953105479478837	0.0009999520023038894
98	98	0.63	0.6745011746436358	0.20361213	0.0007062494307756424	0.000999951502352136
99	99	0.63	0.6743497251123189	0.20361213	0.0007172225564718246	0.0009999510024008825
100	100	0.63	0.6742056238651276	0.20361213	0.000728212594985962	0.0009999505024501287
101	101	0.63	0.674066906556487	0.20361213	0.0007392221540212632	0.000999950002499875
102	102	0.63	0.6739322316646575	0.20361213	0.0007502210140228271	0.0009999495025501213
103	103	0.63	0.6738012018352747	0.20361213	0.0007611694484949113	0.0009999490026008674
104	104	0.63	0.6736745375394821	0.20361213	0.0007720130681991577	0.0009999485026521134
105	105	0.63	0.6735525120049715	0.20361213	0.0007827270776033402	0.0009999480027038593
106	106	0.63	0.6734345253258943	0.20361213	0.0007933076173067094	0.0009999475027561054
107	107	0.635	0.6733214326426387	0.20361213	0.0008037157580256463	0.0009999470028088512
108	108	0.635	0.6732108435332775	0.20361213	0.0008139452636241912	0.000999946502862097
109	109	0.635	0.6731042838692665	0.20361213	0.0008240318894386292	0.0009999460029158425
110	110	0.635	0.6730000061243773	0.20361213	0.0008339566439390183	0.0009999455029700882
111	111	0.635	0.6728998629450798	0.20361213	0.0008437244296073913	0.0009999450030248338
112	112	0.635	0.6728046289682388	0.20361213	0.0008533350229263305	0.0009999445030800791
113	113	0.63	0.672714730963111	0.20361213	0.000862797960639	0.0009999440031358243
114	114	0.635	0.6726322188302875	0.20361213	0.0008721365854144096	0.0009999435031920697
115	115	0.635	0.672552327759564	0.20361213	0.000881354458630085	0.0009999430032488147
116	116	0.635	0.6724738330990077	0.20361213	0.0008904190212488175	0.0009999425033060598
117	117	0.635	0.6723964945673943	0.20361213	0.0008993284106254577	0.000999942003363805
118	118	0.635	0.6723207244202495	0.20361213	0.0009080776497721673	0.0009999415034220498
119	119	0.64	0.6722483005672694	0.20361213	0.0009166565090417862	0.0009999410034807947
120	120	0.635	0.6721802359819412	0.20361213	0.0009250646829605103	0.0009999405035400393
121	121	0.63	0.6721166302114725	0.20361213	0.000933282509446144	0.000999940003599784
122	122	0.63	0.6720538376569748	0.20361213	0.0009413002729415894	0.0009999395036600287
123	123	0.635	0.6719914190620184	0.20361213	0.0009490959495306016	0.0009999390037207729
124	124	0.635	0.6719317341148854	0.20361213	0.0009567046463489534	0.0009999385037820175
125	125	0.635	0.6718735558092594	0.20361213	0.0009641510546207427	0.0009999380038437616
126	126	0.635	0.6718178988844157	0.20361213	0.0009714366346597671	0.000999937503906006
127	127	0.635	0.6717651993334294	0.20361213	0.0009785801470279694	0.00099993700396875
128	128	0.635	0.6717146329879761	0.20361213	0.0009855918884277344	0.000999936504031994
